0	"11,17,21,39,49,71,120,146,203,222,275,288,292,296,306,321,338,356,361,364,365,368,375,457,481,487,528,585,632,638,650,657,658,666,675,678,683,708,725,734,785,813,831,847,864,879,881,893,907,908,915,945,970,971,998"
1	"35,87,89,98,101,118,137,138,143,175,189,221,238,302,312,314,323,351,367,371,379,388,418,451,462,510,518,551,552,582,604,612,622,635,636,648,655,692,700,709,730,732,743,769,817,853,854,909,933,943,950,954,955"
2	"160,176,179,183,184,192,201,215,229,237,264,324,328,334,352,362,454,460,467,485,486,532,539,548,553,563,586,588,597,600,601,602,629,656,702,721,790,826,835,843,857,863,867,869,889,911,912,924,926,983,988"
3	"10,19,45,52,54,82,109,134,198,228,242,266,267,270,283,284,295,298,337,424,431,439,445,541,543,558,568,595,616,681,682,684,695,703,704,754,776,780,782,797,801,802,812,840,880,885,913,946"
4	"48,95,103,107,135,142,167,191,311,313,333,346,366,382,397,406,412,428,433,450,453,484,559,589,593,617,621,685,698,710,722,728,739,748,752,768,791,799,805,818,821,836,844,859,868,898,990"
5	"65,74,78,92,99,114,136,161,178,180,185,187,197,208,213,214,219,244,258,273,319,357,377,387,389,400,408,416,427,466,488,509,516,522,534,556,581,583,642,667,707,765,779,786,810,823,841,850,914,944,962,968,1000"
6	"41,53,55,75,105,117,158,196,200,259,279,281,301,392,398,401,423,475,492,499,517,525,531,569,587,646,690,696,764,771,808,839,855,866,895,958,977,994,995"
7	"30,72,123,141,152,170,186,188,190,235,277,305,317,320,343,349,359,405,426,440,489,500,533,540,564,574,626,630,634,660,663,689,691,720,726,731,792,796,832,849,865,940,961,975,978"
8	"31,32,76,121,124,147,154,163,169,255,269,280,285,287,318,327,369,376,436,458,469,477,490,505,537,542,609,623,639,647,654,673,735,738,742,751,774,781,793,795,798,824,871,890,899,938"
9	"3,44,69,83,86,106,115,133,164,205,207,217,230,291,325,348,373,402,407,425,501,565,659,686,717,740,760,763,770,777,783,800,825,838,862,877,925,984,993"
10	"50,62,73,119,127,159,165,204,218,246,253,297,300,360,370,378,390,393,413,452,456,464,472,483,503,507,514,555,584,674,676,712,733,789,803,860,878,883,886,910,949,956,966,973,989"
11	"5,16,22,33,36,43,84,93,102,111,177,202,210,241,247,268,315,326,335,336,399,435,437,515,545,571,579,614,619,624,633,713,723,737,744,750,778,811,892,897,901,939,969,976,985,992"
12	"18,28,29,38,56,128,131,139,144,149,173,199,209,211,220,223,236,243,248,256,262,304,309,330,332,350,353,374,438,479,491,496,526,560,562,618,645,741,819,845,884,942,952,972,980,981"
13	"2,13,15,20,40,47,51,57,66,97,125,130,153,194,195,226,263,322,344,355,380,381,383,391,411,429,430,441,448,459,473,504,529,561,567,578,603,605,613,615,625,627,670,671,697,716,729,759,809,829,842,873,882,894,900,906,919,928,935,991"
14	"6,7,12,27,70,110,113,129,140,156,231,254,257,282,310,316,342,354,384,432,461,465,494,495,508,550,592,599,607,640,687,699,711,714,727,753,758,766,767,775,794,815,830,861,872,874,875,905,929,930,960,967,979,997"
15	"8,14,26,77,79,81,116,122,145,148,150,162,168,212,216,224,227,234,250,251,274,276,286,290,293,385,386,403,414,417,421,434,442,443,455,468,482,493,498,513,519,546,547,572,573,577,594,598,620,628,631,641,644,649,661,668,705,719,762,788,814,833,846,848,851,904,916,918,923,947,959,963,982"
16	"34,37,42,58,61,63,108,112,126,252,261,271,278,289,294,299,308,331,345,394,395,404,419,420,474,478,480,497,506,521,523,554,566,590,643,662,706,718,755,761,806,870,888,902,903,920,951"
17	"24,64,85,88,90,100,174,193,206,232,233,239,240,272,307,341,358,422,444,512,520,538,557,570,596,653,672,679,701,715,747,772,787,820,828,852,858,887,896,922,932,965,986,996"
18	"1,4,9,23,46,59,60,67,80,91,94,157,166,171,182,225,249,303,329,339,347,372,409,446,447,449,463,471,502,511,524,527,530,535,549,576,580,591,608,611,637,651,652,677,680,693,724,745,773,807,856,876,927,936,937,948,957,987"
19	"25,68,96,104,132,151,155,172,181,245,260,265,340,363,396,410,415,470,476,536,544,575,606,610,664,665,669,688,694,736,746,749,756,757,784,804,816,822,827,834,837,891,917,921,931,934,941,953,964,974,999"
