0	"8,13,44,64,70,89,114,173,178,200,215,216,223,239,293,300"
1	"3,32,49,50,54,93,108,121,203,205,209,245,271,276,290"
2	"71,76,81,84,88,94,107,111,118,120,149,181,254,259,267,281"
3	"2,10,26,28,39,40,45,74,85,92,95,99,133,136,154,171,174,182,191,197,199,214,222,228,240,242"
4	"9,15,31,77,128,131,153,159,172,175,183,236,252,270,285,286,287,296"
5	"24,29,35,57,62,67,82,87,101,135,141,142,155,165,169,206,226,244,256"
6	"27,38,66,90,109,116,144,167,186,283"
7	"1,11,17,18,20,36,61,106,126,160,180,196,204,221,230,232,237,253,264,266,277,280"
8	"48,65,130,188,195,218,227,255,261,282,288,289"
9	"51,58,100,102,113,134,192,201,235,294"
10	"46,98,140,161,207,219,268,295,299"
11	"5,68,73,86,96,139,151,166,194,225,229,248,251"
12	"52,69,83,110,137,177,198,202,208,210,224,234,257"
13	"6,56,79,80,132,148,150,152,156,170,176,187,260,269"
14	"7,14,22,43,53,63,72,104,129,138,145,189,193,247,265"
15	"21,25,55,75,78,105,122,125,147,162,185,231,246,250,278"
16	"37,41,42,241,243,249,297"
17	"12,16,34,91,97,115,117,158,164,168,213,238,274,275"
18	"4,19,47,103,119,124,146,157,179,184,220,258,262,284,291,292,298"
19	"23,30,33,59,60,112,123,127,143,163,190,211,212,217,233,263,272,273,279"
