0	"7,37,43,62,71,76,78,124,139,204,217,223,224,246,272,285,306,313,328,355,368,380,395,396,399,408,424,499,515,549,579,603,622,641,647,654,663,673,691,709,724,750,778,792,794,814,834,863,864,920,924,925,927"
1	"27,28,42,44,75,102,104,118,120,156,160,165,190,228,235,253,256,262,279,280,300,311,321,385,393,404,440,443,452,458,474,485,487,500,544,592,610,636,678,684,720,736,767,866,867,869,894,940,972,974"
2	"14,29,36,106,113,143,180,198,214,232,248,327,332,333,352,353,373,394,425,429,562,565,590,614,626,681,723,726,756,779,784,786,812,818,828,829,860,900,903,921,955,978"
3	"34,91,94,103,114,125,127,135,138,153,155,176,208,213,219,247,297,301,319,341,357,398,423,431,481,497,498,547,551,559,561,566,570,584,616,625,649,656,742,761,772,809,868,874,922,933,944,961,965,970,973,984,995"
4	"35,53,57,67,74,96,101,105,111,131,137,166,177,189,251,269,271,278,356,365,400,401,403,407,430,435,436,468,523,536,576,595,596,604,608,623,666,675,690,793,813,819,821,851,857,858,879,880,909,910,923,934,935,942"
5	"9,11,61,90,142,148,149,157,169,183,292,308,330,348,376,410,419,421,447,479,493,531,541,557,569,609,629,670,687,717,719,748,754,758,773,774,798,824,843,849,853,855,885,895,919,950,957,962,968,976"
6	"38,52,55,85,116,122,179,185,192,211,242,261,263,282,286,288,303,309,318,342,346,361,383,406,409,411,446,456,471,521,525,534,601,703,731,733,738,765,800,801,815,826,830,840,842,848,852,896,898,911,918,938,993"
7	"1,17,54,69,97,108,226,236,270,274,291,293,370,375,390,426,438,454,464,488,519,542,642,661,683,716,718,734,737,807,810,837,839,841,871,875,877,904,937,939,954,989"
8	"24,40,60,68,79,109,146,158,162,172,210,229,249,255,273,287,304,307,314,315,320,324,366,369,378,381,386,413,460,466,503,516,522,537,545,581,631,635,650,660,668,680,688,693,727,730,735,764,827,861,872,883,930,931,964,969,971,986,991,998"
9	"8,12,49,64,72,84,99,132,145,151,184,194,215,237,254,268,283,359,372,382,384,483,504,573,611,644,652,655,665,672,674,676,677,679,682,705,714,732,740,769,771,783,823,832,856,884,914,915,947,948,953,960,963,980,992"
10	"18,21,33,58,59,82,98,123,136,147,159,167,195,196,207,260,275,277,337,363,364,387,389,455,462,491,510,517,529,538,572,582,704,715,721,741,822,838,865,873,881,892,905,907,946,952"
11	"3,13,83,95,117,199,205,227,233,241,245,250,284,310,312,335,338,343,414,417,428,432,442,449,450,501,509,543,552,553,593,594,632,643,645,659,671,747,752,757,766,781,782,796,802,845,859,870,878,888,916,917,932,941,979"
12	"16,19,39,66,80,110,115,128,150,178,193,200,202,231,238,290,298,323,334,344,402,415,420,433,439,457,489,495,496,508,540,548,591,598,612,651,657,686,698,753,785,808,817,876,901,902,906,912,928,987,1000"
13	"10,45,51,87,100,107,181,191,197,201,239,258,267,299,317,329,339,360,412,427,444,453,465,478,486,505,511,512,518,546,550,574,583,589,600,615,638,646,653,667,669,685,699,701,744,749,787,897,945,975,985"
14	"2,4,56,65,77,81,129,130,133,175,186,281,295,322,331,405,470,513,520,568,607,617,620,630,712,762,777,795,797,805,899,926,966,988"
15	"20,32,63,112,121,164,168,209,212,259,264,265,336,349,358,371,392,461,469,524,526,527,530,535,558,564,587,605,619,628,658,662,692,710,739,746,755,759,768,791,811,831,862,889,890,913,949,977,997"
16	"26,70,86,89,93,126,174,182,203,216,218,222,234,289,296,302,326,347,351,377,437,445,477,502,507,539,571,575,580,621,633,637,689,694,713,722,729,743,780,825,844,951,959,967,981,990,996"
17	"5,15,23,25,41,46,48,50,140,144,154,173,187,221,240,252,340,345,367,379,391,397,422,434,475,482,490,506,532,577,586,588,606,639,640,648,664,695,696,697,700,702,745,775,776,789,799,806,833,847,887,891,929,958,994"
18	"30,73,88,163,170,220,230,243,244,257,266,294,354,374,448,459,463,467,472,473,484,492,528,533,554,556,560,563,567,578,599,602,613,618,624,706,725,728,751,760,788,790,816,820,846,850,854,936,982,999"
19	"6,22,31,47,92,119,134,141,152,161,171,188,206,225,276,305,316,325,350,362,388,416,418,441,451,476,480,494,514,555,585,597,627,634,707,708,711,763,770,803,804,835,836,882,886,893,908,943,956,983"
