0	"15,21,22,24,33,50,65,71,77,116,180,213,222,223,254,259"
1	"1,18,20,31,60,118,137,152,186,208,253,270,291,300"
2	"14,82,88,123,138,164,169,203,210,235"
3	"19,27,41,43,44,45,48,51,57,107,109,124,125,162,165,175,183,190,212,238,246,278,282"
4	"35,46,76,79,99,159,170,171,174,221,279,288,295"
5	"12,53,55,86,92,104,108,113,120,129,141,142,143,219,234,264,272,289,293"
6	"11,16,26,47,59,72,74,93,103,111,112,126,147,166,173,177,195,198,243,245,280,292"
7	"6,69,75,133,144,167,185,197,247,258,260,274"
8	"7,13,56,83,102,148,168,188,216,217,244,248,261"
9	"5,78,80,110,128,150,163,178,181,199,205,218,239,251,256,265,283"
10	"2,36,49,90,114,139,157,172,194,250,252,266"
11	"64,95,97,119,130,132,134,151,158,187,193,226,227,263,269,275,281"
12	"68,85,100,121,160,176,189,232,242,284,296"
13	"32,37,66,135,145,206,228,229,236,262"
14	"17,54,61,67,73,106,127,136,155,182,240,241,268,273"
15	"23,29,30,98,115,122,131,161,184,225,231,285,286,297"
16	"4,25,39,52,81,87,89,94,153,179,192,204,207,224,233,287,299"
17	"42,58,62,63,105,117,149,191,201,202,211,220,267,276,290,298"
18	"28,38,40,70,96,146,154,156,200,214,215,230,249,255,257,271,277"
19	"3,8,9,10,34,84,91,101,140,196,209,237,294"
